iter	RMSE
0	589.1198932
1	560.9129996
2	534.1041147
3	508.5649371
4	484.0638416
5	460.842528
6	439.1066229
7	418.1588176
8	398.2016378
9	379.4383798
10	361.4664826
11	344.3039654
12	328.6424089
13	313.3148352
14	298.4849902
15	284.7012247
16	271.3939599
17	259.0770871
18	247.0887444
19	235.7005819
20	224.774024
21	214.5291737
22	204.8814468
23	195.4629455
24	186.6906129
25	178.4413505
26	170.3930934
27	162.8754048
28	155.7175953
29	148.8898035
30	142.3640633
31	136.2075868
32	130.4024299
33	124.8187412
34	119.3852053
35	114.3738482
36	109.5900404
37	105.0105817
38	100.7133859
39	96.62209638
40	92.73525972
41	88.98449849
42	85.20437589
43	81.81965733
44	78.65118973
45	75.38020199
46	72.54172596
47	69.77751088
48	67.15165854
49	64.58579753
50	62.15495032
51	59.96527869
52	57.89456321
53	55.7545085
54	53.73761316
55	51.98993201
56	50.15880587
57	48.42128815
58	46.69439322
59	45.14307019
60	43.69406287
61	42.2501452
62	40.8301413
63	39.53488118
64	38.33224516
65	37.15107559
66	36.02666489
67	35.01570895
68	34.07150798
69	33.13542246
70	32.26075806
71	31.42236761
72	30.63664881
73	29.89688014
74	29.1285072
75	28.45580107
76	27.83481511
77	27.22465295
78	26.63142941
79	26.09306295
80	25.60167712
81	25.09198331
82	24.60919973
83	24.18274265
84	23.77934709
85	23.39956334
86	23.01331425
87	22.66060343
88	22.32246357
89	21.97016368
90	21.64450088
91	21.32466282
92	21.02141713
93	20.76955183
94	20.48527194
95	20.22208942
96	19.99671808
97	19.74383844
98	19.52994518
99	19.31745611
100	19.0902803
101	18.89955003
102	18.69234377
103	18.52105384
104	18.34671564
105	18.21212769
106	18.04563875
107	17.8861806
108	17.71498459
109	17.56018269
110	17.42932745
111	17.28932299
112	17.17010198
113	17.04650794
114	16.90761904
115	16.79530613
116	16.68294392
117	16.57488956
118	16.45549526
119	16.35153708
120	16.27747364
121	16.18730694
122	16.07713324
123	15.97007397
124	15.86512587
125	15.77356224
126	15.6693753
127	15.5962399
128	15.50115226
129	15.40444774
130	15.34052556
131	15.26269037
132	15.19712379
133	15.12421385
134	15.05634667
135	14.99401234
136	14.92430017
137	14.85621613
138	14.7905723
139	14.72566358
140	14.66851779
141	14.61711619
142	14.56212977
143	14.49456495
144	14.42864232
145	14.37300529
146	14.33063377
147	14.2626269
148	14.20370555
149	14.16751392
150	14.10097443
151	14.05276673
152	14.01047084
153	13.97054491
154	13.91394899
155	13.87670043
156	13.83399737
157	13.78590672
158	13.73991294
159	13.6732661
160	13.63957145
161	13.58789852
162	13.53410432
163	13.48506319
164	13.45742191
165	13.40004937
166	13.35038952
167	13.31278296
168	13.26385762
169	13.22102788
170	13.17168395
171	13.13743521
172	13.08615063
173	13.0349081
174	12.9931825
175	12.93650281
176	12.89614355
177	12.85029966
178	12.81038042
179	12.75977605
180	12.69828872
181	12.66016991
182	12.61126149
183	12.57338288
184	12.52342125
185	12.49129539
186	12.45293936
187	12.41706686
188	12.38068715
189	12.33075568
190	12.2927978
191	12.26182247
192	12.23845689
193	12.2166935
194	12.1851491
195	12.14651155
196	12.10141686
197	12.0583758
198	12.0301865
199	11.98301178
200	11.94425334
201	11.92992685
202	11.91320994
203	11.89205917
204	11.84570005
205	11.80618531
206	11.76810017
207	11.72788436
208	11.70474054
209	11.6819325
210	11.6451122
211	11.60347845
212	11.57774797
213	11.55738266
214	11.52629185
215	11.50794315
216	11.47364282
217	11.45299094
218	11.42553296
219	11.39232811
220	11.34952711
221	11.30931237
222	11.26549484
223	11.22814058
224	11.20451381
225	11.17461575
226	11.14484863
227	11.11410042
228	11.08778833
229	11.0618932
230	11.02924528
231	10.9953352
232	10.96475153
233	10.93665175
234	10.90795661
235	10.87694364
236	10.84150927
237	10.80655131
238	10.77616539
239	10.74917549
240	10.71889871
241	10.69673578
242	10.67179757
243	10.64055827
244	10.59701113
245	10.57808003
246	10.55109349
247	10.50886809
248	10.47286776
249	10.44915989
250	10.41246401
251	10.38600597
252	10.36488586
253	10.34385442
254	10.31158551
255	10.28566195
256	10.26759535
257	10.23605222
258	10.21237297
259	10.19174897
260	10.15576072
261	10.13406147
262	10.10994591
263	10.08382977
264	10.05425594
265	10.03530839
266	10.01074351
267	9.992399379
268	9.970337008
269	9.946435055
270	9.91560729
271	9.900559981
272	9.870527534
273	9.842942173
274	9.821522778
275	9.79838019
276	9.769616792
277	9.7541384
278	9.730317052
279	9.70340278
280	9.682175021
281	9.667801991
282	9.653799744
283	9.628315154
284	9.615626807
285	9.595735335
286	9.577424442
287	9.555848138
288	9.529354722
289	9.508595461
290	9.488910926
291	9.467482384
292	9.445288461
293	9.427482992
294	9.410025475
295	9.383162022
296	9.359929553
297	9.343433546
298	9.324268392
299	9.304603876
300	9.284531041
301	9.262796094
302	9.236628607
303	9.220134149
304	9.194755956
305	9.177151395
306	9.153700414
307	9.131133202
308	9.113727922
309	9.094069418
310	9.070731023
311	9.049451202
312	9.033598775
313	9.020338776
314	9.002905257
315	8.98807813
316	8.965475736
317	8.946258548
318	8.932508632
319	8.916462005
320	8.899429343
321	8.886514447
322	8.868088021
323	8.854537662
324	8.83493864
325	8.82361659
326	8.806128932
327	8.795460363
328	8.776895975
329	8.762383813
330	8.750084091
331	8.725311332
332	8.71670256
333	8.705085874
334	8.690535023
335	8.675895302
336	8.656690707
337	8.644703934
338	8.622126513
339	8.610265661
340	8.589396707
341	8.575097131
342	8.55701547
343	8.545266938
344	8.531432659
345	8.511051209
346	8.49118827
347	8.478309357
348	8.468638714
349	8.450226355
350	8.429350216
351	8.414455745
352	8.403539841
353	8.381787639
354	8.368245946
355	8.345597071
356	8.323646093
357	8.315834551
358	8.304282555
359	8.28433478
360	8.259938963
361	8.241860464
362	8.232152664
363	8.22101826
364	8.212512021
365	8.198236199
366	8.182829636
367	8.167443184
368	8.157002528
369	8.137475748
370	8.119543409
371	8.108924351
372	8.095406577
373	8.084812197
374	8.068734847
375	8.058709236
376	8.041815687
377	8.021360897
378	8.007356854
379	7.995179023
380	7.979118296
381	7.961084732
382	7.949113681
383	7.933279431
384	7.920167235
385	7.903301279
386	7.891221439
387	7.879512654
388	7.86897128
389	7.851740757
390	7.83590393
391	7.827866645
392	7.812980146
393	7.801070142
394	7.785820891
395	7.775734926
396	7.761187816
397	7.753133219
398	7.74161575
399	7.72374247
400	7.711686116
401	7.698019485
402	7.685765782
403	7.671016256
404	7.652944312
405	7.640966581
406	7.62382811
407	7.610567954
408	7.595537528
409	7.582053413
410	7.573647694
411	7.566201683
412	7.546868043
413	7.534311726
414	7.518503893
415	7.506848099
416	7.486956461
417	7.474827755
418	7.460885948
419	7.451325207
420	7.440397747
421	7.427611643
422	7.409622366
423	7.397535381
424	7.383241321
425	7.369593262
426	7.357219219
427	7.35146463
428	7.342598683
429	7.334274393
430	7.324273958
431	7.309875002
432	7.302476094
433	7.293627585
434	7.271867559
435	7.257711806
436	7.247410265
437	7.235857567
438	7.2258133
439	7.213096547
440	7.204621384
441	7.194918762
442	7.180789085
443	7.171361991
444	7.158472275
445	7.149206472
446	7.137598205
447	7.126410113
448	7.117924382
449	7.103733433
450	7.097932312
451	7.090009527
452	7.079756848
453	7.07064112
454	7.062067042
455	7.051590591
456	7.045140373
457	7.036383824
458	7.026649952
459	7.016195293
460	7.005977555
461	6.993462575
462	6.983745206
463	6.970730638
464	6.955966526
465	6.945378973
466	6.935136999
467	6.92187331
468	6.915040549
469	6.896297002
470	6.888114919
471	6.88050389
472	6.873588396
473	6.86546391
474	6.857775174
475	6.848851181
476	6.838228183
477	6.828543722
478	6.813634148
479	6.799643333
480	6.785555211
481	6.773124408
482	6.759403958
483	6.747164818
484	6.738885358
485	6.7311183
486	6.724669315
487	6.715009992
488	6.704531556
489	6.692908243
490	6.685751616
491	6.67807455
492	6.665280637
493	6.653215897
494	6.643463036
495	6.635997222
496	6.628983396
497	6.61747244
498	6.610328616
499	6.598409589
