iter	RMSE
0	480.9238454
1	458.4508065
2	436.9108767
3	416.6868484
4	397.23326
5	378.5135081
6	360.9562269
7	344.170933
8	328.1539759
9	313.1526494
10	299.3113097
11	285.5237186
12	272.5581792
13	260.1960598
14	248.54916
15	237.6370485
16	226.9391064
17	217.0460584
18	207.5554651
19	198.2417119
20	189.8930649
21	181.6620764
22	173.7517569
23	166.4762228
24	159.2202087
25	152.5416454
26	146.2894978
27	140.5329684
28	135.0453197
29	129.6654338
30	124.6530303
31	119.9324307
32	115.350991
33	111.0507218
34	107.0085601
35	103.2318996
36	99.52202131
37	96.10667834
38	92.73399465
39	89.64145024
40	86.76188887
41	83.86971808
42	81.23713121
43	78.89872487
44	76.56763935
45	74.29891543
46	72.22391768
47	70.29957643
48	68.57456262
49	66.91431721
50	65.3466351
51	63.93717687
52	62.63034983
53	61.26290055
54	60.03172812
55	58.77134217
56	57.63707606
57	56.51902084
58	55.41428191
59	54.53617638
60	53.69730649
61	52.85797262
62	52.08217875
63	51.31514393
64	50.56686919
65	49.88804371
66	49.16725778
67	48.60184869
68	48.0668403
69	47.52968628
70	46.96979908
71	46.48398702
72	46.00460436
73	45.57827305
74	45.17335455
75	44.76718231
76	44.35013834
77	44.04026761
78	43.7522951
79	43.43013522
80	43.03554989
81	42.74494894
82	42.44543916
83	42.165786
84	41.88305808
85	41.58771176
86	41.34363065
87	41.10829816
88	40.86088324
89	40.63123675
90	40.43845629
91	40.19528459
92	39.95204098
93	39.74675306
94	39.5437278
95	39.40796433
96	39.14974077
97	38.98298628
98	38.79899709
99	38.6585311
100	38.50492849
101	38.31264154
102	38.13414242
103	38.00586002
104	37.82782929
105	37.70138499
106	37.60675588
107	37.40945943
108	37.2658502
109	37.12526009
110	37.03352876
111	36.87833271
112	36.74042316
113	36.58605944
114	36.51071306
115	36.40747831
116	36.26672175
117	36.20328753
118	36.10274727
119	36.03027048
120	35.88144553
121	35.76551553
122	35.68394971
123	35.59812002
124	35.51455177
125	35.43134301
126	35.3619015
127	35.2608289
128	35.16654724
129	35.0860907
130	34.95052266
131	34.89256735
132	34.7598058
133	34.68663573
134	34.57846398
135	34.50365914
136	34.43206704
