iter	RMSE
352	312.5728536
353	312.3809983
354	312.0195383
355	311.8727003
356	311.6018923
357	311.5463407
358	311.226268
359	311.0224729
360	310.6835278
361	310.5828839
362	310.3280985
363	310.1903666
364	309.9336413
365	309.7086992
366	309.5588713
367	309.2023037
368	309.1313495
369	309.0077586
370	308.8449856
371	308.6786385
372	308.5572616
373	308.3861256
374	308.3286822
375	308.1299536
376	307.9591515
377	307.8927645
378	307.5755069
379	307.4094059
380	307.157349
381	307.0243718
382	306.872986
383	306.6629914
384	306.5418141
385	306.4153529
386	306.217771
387	305.9615645
388	305.8359534
389	305.6447448
390	305.3607443
391	305.1934753
392	305.0251006
393	304.8120505
394	304.4800829
395	304.2470515
396	303.9750555
397	303.7409835
398	303.4416113
399	303.3717345
400	303.2867183
401	303.1631717
402	303.0847208
403	302.9440235
404	302.7606311
405	302.5473065
406	302.4133969
407	302.1713942
408	302.0958798
409	301.8966029
410	301.7822295
411	301.6639515
412	301.4994642
413	301.2612404
414	301.1003835
415	300.8691122
416	300.7233439
417	300.529133
418	300.3106487
419	300.1467002
420	299.9422963
421	299.8320097
422	299.6826695
423	299.5575305
424	299.4466559
425	299.3451722
426	299.1931629
427	299.1072349
428	298.8502365
429	298.6332696
430	298.3861151
431	298.3139921
432	298.2420657
433	298.164474
434	297.9559404
435	297.8338886
436	297.7769854
437	297.6624855
438	297.5614322
439	297.3144084
440	297.075038
441	296.9467496
442	296.7739238
443	296.6063906
444	296.4260637
445	296.3361379
446	296.2168835
447	295.9795102
448	295.8380825
449	295.7049535
450	295.5482081
451	295.4388585
452	295.2764731
453	295.0482809
454	294.931477
455	294.8289962
456	294.6720892
457	294.6236337
458	294.3968383
459	294.2966781
460	294.1575455
461	294.0254985
462	293.9429937
463	293.8501419
464	293.6736798
465	293.4760328
466	293.3489797
467	293.2625333
468	293.053589
469	292.9312157
470	292.597746
471	292.3704547
472	292.2365884
473	292.0655366
474	291.8669292
475	291.7155627
476	291.5977244
477	291.5257483
478	291.4058174
479	291.2185299
480	290.9177901
481	290.8646764
482	290.7982691
483	290.578468
484	290.3859412
485	290.2354611
486	290.1588527
487	289.9358457
488	289.7566278
489	289.6156076
490	289.5243417
491	289.3296141
492	289.203095
493	289.1220646
494	288.9585033
495	288.8683163
496	288.7924385
497	288.7057537
498	288.6394138
499	288.5926108
