Model,Category,MSE,RMSE,MAE,R²,MAPE
Random Forest,ML Tree,15122.478170538105,122.97348564035299,39.09384121112066,0.9994455549580129,3.158321466732698
XGBoost,ML Tree,18031.34321384323,134.2808371058329,53.66459948580334,0.9993389053875601,19.734903459650784
LightGBM,ML Tree,20766.552180284343,144.10604491236424,67.50569749675279,0.9992386226803781,35.726649710426074
LSTM,Deep Learning,3710372.667434553,1926.2327656424477,967.3031334737282,0.8633706971268335,584.5956309834263
Naive,Baseline,34963727.30726336,5913.013386359223,2772.8588088768115,-0.2818973872066126,85.08422608463715
Mean,Baseline,42145538.196541876,6491.9595036122855,5986.435505253973,-0.5452086907604989,39479.90005204953
Seasonal Naive (24h),Baseline,91411655.28778872,9560.944267580933,6593.987432065217,-2.3514836974862474,8968.470613846768
