Model,Category,MSE,RMSE,MAE,R²,MAPE
LightGBM,ML Tree,99.84521381516961,9.992257693593055,1.734319389317991,0.9799854616515179,45777983.09368798
Random Forest,ML Tree,112.38584317866692,10.601218947775152,1.1390591969401231,0.9774716215011582,25757506.22379252
XGBoost,ML Tree,131.84977652213985,11.482585794242508,1.6324537888299704,0.9735699658741155,24993953.278668895
LSTM,Deep Learning,2151.420127557393,46.38340357883833,25.02969470234963,0.5712198120683984,616139450.6498394
Naive,Baseline,5506.66701526268,74.20692026531407,42.7096240942029,-0.10384257730490853,2172015031.1223445
Seasonal Naive (24h),Baseline,5903.7503668025365,76.83586640887533,46.48683423913043,-0.18344018307147336,1946154661.7524266
Mean,Baseline,6858.649753761418,82.81696537401874,61.6205809811498,-0.37485517102081967,3965605574.0047274
