,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
Mean,2536.6314181764246,3259.703775558075,46.11529890621946,30.82776294561566,-0.3358165370133832,8.69382962306727
Moving Average (168h),2898.0252299437916,3296.324613406963,36.24174121148693,36.702462481771406,-0.36599934538289336,9.932439301959851
Seasonal Naive (24h),2804.9331246806337,3562.34417989963,48.85376148664094,33.25462397266234,-0.595373223361201,9.61338352719839
Drift,2884.5654094764895,3739.2468718088157,52.98230325454528,33.702838384521385,-0.7577569452851292,9.886308285422997
Naive,2996.3615866121613,3915.6592964332485,55.4032384003905,34.55754381192433,-0.9275264122899731,10.269468767298012
