Model,MAE,RMSE,R2,MAPE
"SARIMA(1,1,1)x(1,1,1,24)",1929.1141384706852,2223.3450918274075,-0.7111284349569174,62.16098608107566
ETS,2683.413993161149,3080.5209898709486,-2.284862542204577,66.66488567240452
