mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.4425236701965334,0.7120823235955959,0.06808552742004395,0.011709470661408062,0.9,500,1,6,0.2,0.2,1.0,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 1.0}",-309.5812989091003,-560.6242367265236,-371.7285678540889,-333.2035133576907,-355.17643318239533,-386.06281000595976,89.74926991556332,36
10.627181196212769,3.4675058258856613,0.18595972061157226,0.0658586493052218,0.7,1000,3,7,0.02,0.4,1.0,"{'subsample': 0.7, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.4, 'colsample_bytree': 1.0}",-238.74427844501452,-440.0294644939366,-318.21395836572344,-289.0357644557162,-289.98469056086753,-315.20163126425166,67.46456187924089,13
5.392088603973389,0.70359358080606,0.04576597213745117,0.004966683725791946,0.9,300,7,8,0.01,0.0,1.0,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",-215.27101504197762,-444.4000513383603,-379.1493044219009,-385.40584002189576,-388.41565795696,-362.5283737562189,77.27546385215604,31
1.1729291439056397,0.2346062345968585,0.03129429817199707,0.004777327927250259,1.0,300,3,5,0.1,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",-272.0166224541356,-435.1334411924751,-343.5400748535966,-295.2741635248238,-284.7922094443149,-326.1513022938692,59.62216338124668,18
1.4358839511871337,0.33224394517401895,0.028923892974853517,0.0031774308523492903,0.7,200,7,6,0.01,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",-279.2254008278918,-597.2078688588308,-608.1807510300063,-652.7875310945274,-680.679866455483,-563.6162836533479,145.3602107676741,45
0.3687304973602295,0.10558024803591795,0.014692354202270507,0.00041572386331161204,0.9,200,1,3,0.01,0.3,0.8,"{'subsample': 0.9, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.8}",-320.1911314197243,-714.9566453215692,-691.7247026585821,-755.154377688381,-810.5325937046538,-658.5118901585821,173.89657949240757,49
2.184086322784424,0.583636806695117,0.06654553413391114,0.0031292369911481966,0.9,1000,10,4,0.2,0.2,0.9,"{'subsample': 0.9, 'n_estimators': 1000, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.9}",-370.8516141622616,-536.433576907131,-400.4995341489169,-349.50897935452946,-346.0167140372357,-400.6620837220149,70.6050216257594,40
1.6584134578704834,0.45463552689410813,0.05287337303161621,0.0028481275815412798,1.0,1000,1,3,0.1,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-419.78353512385985,-477.94287166057734,-399.7575317585251,-352.5525145269745,-318.0657078377643,-393.6204321815402,55.18611415497612,39
12.132113790512085,3.1339234221274883,0.10144968032836914,0.01540670932682526,0.7,500,3,10,0.05,0.3,1.0,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 1.0}",-239.09914554830016,-456.7027431203358,-325.97840153075765,-298.35698792819755,-313.95714202425376,-326.81888403036896,71.47136450279892,20
0.7189476013183593,0.137920887183562,0.021853256225585937,0.00033143178543673267,1.0,200,5,5,0.05,0.2,0.7,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}",-198.54803213748963,-390.94562838476884,-322.27607251826805,-288.09133045708955,-276.82973114570376,-295.338158928664,62.657555762263954,5
5.860257863998413,1.5558938234556894,0.07757411003112794,0.012112015802232434,0.9,400,5,10,0.3,0.0,0.8,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.8}",-246.9004176707608,-465.6019954750985,-360.17067130169465,-324.3491707316283,-348.4662237316024,-349.0976957821569,70.36054936724747,27
6.388885641098023,1.158524713974575,0.09797072410583496,0.006830194784690818,0.8,750,1,7,0.2,0.4,0.8,"{'subsample': 0.8, 'n_estimators': 750, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.4, 'colsample_bytree': 0.8}",-318.15666783271143,-543.6463496320481,-386.92263438666043,-330.18511770574213,-387.6139066224865,-393.30493523592975,80.38287866478133,38
