,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
LightGBM,69.08253546497194,102.8759483178167,2.8446901420577304,2.459832299474838,0.5500031528190459,1.969347010344417e-06
Random Forest,97.28540680383914,128.46034262577987,3.7766993347210605,3.3371935959071224,0.2983509850696521,2.773330824495077e-06
XGBoost,93.02035073889307,142.05040170796605,3.703699034166809,3.2468055357053744,0.1420406723328802,2.6517461815181013e-06
CatBoost,153.24995957099398,183.9987083100088,5.9059510744225046,5.293648098453452,-0.43949883006309776,4.368721380667443e-06
