,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
N-BEATS,64.44405672115123,81.44776862802674,inf,200.0,0.0,2.6524123032866746e-06
N-HiTS,602.3934609780985,748.8918219561014,inf,200.0,0.0,2.479353269505357e-05
