,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
Simple RNN,7.633876323699951,7.633876323699952,inf,200.0,0.0,3.1419790300235593e-07
GRU,12.641688527841758,12.641688527843506,inf,200.0,0.0,5.20311288450596e-07
LSTM,79.73543548583984,79.73543548583984,inf,200.0,0.0,3.2817805217583207e-06
