Model,MAE,RMSE,R2,MAPE
Mean Forecast,1862.1883326516404,2088.319850433014,-0.5096034844062769,66.14958257696428
Seasonal Naive (24h),1654.74133148405,2164.2552306024386,-0.6213837192811527,84.94624049586194
Moving Average (7d),1931.1626254870885,2174.9167413960386,-0.6373975218470738,65.21979687191072
"SARIMA(1,1,1)x(1,1,1,24)",1929.1141384706852,2223.3450918274075,-0.7111284349569174,62.16098608107566
Naive (Last Value),2210.2087378640776,2534.331712815535,-1.2232882480497986,62.9435609164428
Drift Method,2254.4363926125707,2585.6367155304865,-1.3142158744166608,63.52694639140982
ETS,2683.413993161149,3080.5209898709486,-2.284862542204577,66.66488567240452
