Model,MSE,RMSE,MAE,R²,MAPE
LightGBM,100.59316157484582,10.029614228615467,1.755792862000736,0.9798355312888426,46037291.41551404
Random Forest,112.38584317866693,10.601218947775154,1.1390591969401234,0.9774716215011582,25757506.22379252
XGBoost,131.84977652213985,11.482585794242508,1.6324537888299704,0.9735699658741155,24993953.278668895
Naive,5506.66701526268,74.20692026531407,42.7096240942029,-0.10384257730490853,2172015031.1223445
Seasonal Naive (24h),5903.7503668025365,76.83586640887533,46.48683423913043,-0.18344018307147336,1946154661.7524266
Mean,6858.649753761418,82.81696537401874,61.6205809811498,-0.37485517102081967,3965605574.0047274
