Model,MAE,RMSE,R²
LightGBM,3.554129400801494,9.952025171926929,0.9997499819485718
XGBoost,3.820843864889706,13.329087584475277,0.9995515136001265
Random Forest,3.2734165107195925,16.646748037991703,0.9993004685463857
CatBoost,41.03539057783903,74.6140314630877,0.9859463398744074
