Methode,RMSE,MAE,R²
Stacking,640.0229583810102,379.94995767255614,0.9962316863137796
Optimized Weights,640.3411189844429,408.741146616418,0.9962279388639754
Weighted Average,650.9401772413975,380.1209884046453,0.9961020335438754
Simple Average,652.0939432917713,379.6688346156614,0.9960882033112336
Voting,652.0939432917713,379.6688346156614,0.9960882033112336
GradientBoosting (Base),768.0788591776115,367.71340905239936,0.9945729032354055
Ridge (Base),771.9860143846632,557.9820979633436,0.9945175483927524
RandomForest (Base),807.7183141423865,381.02913074758715,0.9939982790073875
