Model,MAE_MW,RMSE_MW,R2,MAPE_%,Training_Time_s
LSTM,251.53030533926784,377.1933151550754,0.9821519118358821,3.480115987626775,206.8690094947815
GRU,252.31999430492294,378.99309540858303,0.9819811809558406,3.492968346251995,281.86498761177063
