Model,Category,MSE,RMSE,MAE,R²,MAPE
Random Forest,ML Tree,1152.981052554423,33.9555746903866,13.099450347537912,0.9996722548800927,22439206.84819716
XGBoost,ML Tree,1679.3011808680317,40.97927745663693,17.13455088922511,0.9995226437020238,98299079.27556042
LightGBM,ML Tree,1989.8270092142077,44.60747705502081,21.735205658975662,0.999434373973202,449263935.67081493
LSTM,Deep Learning,365588.79133076133,604.6393894965505,467.6766609778771,0.8956358469974527,15087485776.763716
Mean,Baseline,3632202.765590135,1905.833876703354,1653.7802855162472,-0.03248594441224828,101880249263.89087
Naive,Baseline,4590599.373867754,2142.568405878271,1803.2058423913043,-0.3049187052133209,76603262073.67825
Seasonal Naive (24h),Baseline,4843238.064028532,2200.7358005968213,1839.494338768116,-0.37673350010221385,65656704315.106026
