Model,MSE,RMSE,MAE,R²
LightGBM Quantile (P50),157.44928383924838,12.547879655114977,2.1030729639425005,0.9684383997096223
N-BEATS,6426.8297382368055,80.16751049045246,53.916652741279734,-0.2882944043088713
