,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
SARIMA,0.0,0.0,inf,0.0,1.0,0.0
ETS,167.00145274718992,190.84120368857117,inf,200.0,0.0,6.87350751132977e-06
ARIMA,3051.7738385826774,3051.7738385826765,inf,200.0,0.0,0.00012560603550037491
