feature,importance
lag_1,1875
lag_2,1604
hour,1149
lag_3,908
rolling_24_std,836
lag_24,778
rolling_24_min,759
rolling_24_max,688
rolling_24_mean,637
lag_48,609
lag_168,603
rolling_168_mean,516
rolling_168_std,485
hour_sin,481
dayofyear,453
hour_cos,363
rolling_168_max,350
rolling_168_min,311
day,307
month_cos,243
dayofweek,240
month_sin,113
dayofweek_sin,104
weekofyear,103
dayofweek_cos,83
month,70
year,65
is_month_end,15
is_weekend,2
quarter,2
is_month_start,2
