Model,MAE,RMSE,R2,MAPE
Mean Forecast,1862.1883326516404,2088.319850433014,-0.5096034844062769,66.14958257696428
Seasonal Naive (24h),1654.7413314840499,2164.2552306024386,-0.6213837192811527,84.94624049586194
Moving Average (7d),1931.1626254870885,2174.9167413960386,-0.6373975218470738,65.21979687191072
Naive (Last Value),2210.2087378640776,2534.331712815535,-1.2232882480497986,62.9435609164428
Drift Method,2254.4363926125707,2585.6367155304865,-1.3142158744166608,63.52694639140982
