Model,Category,MSE,RMSE,MAE,R²,MAPE
Random Forest,ML Tree,10907.391392150386,104.43845743858144,57.55812867879498,0.9998704434363155,0.10467514082970028
XGBoost,ML Tree,12863.827862532242,113.41881617497266,77.67609261775362,0.9998472051406445,0.1412382563450193
LightGBM,ML Tree,19015.02332159936,137.8949720678726,99.73445684259154,0.9997741420481435,0.18266810091021649
LSTM,Deep Learning,46447649.02470001,6815.251207747225,5565.332176124656,0.45041848402178164,9.93620597523371
Seasonal Naive (24h),Baseline,51144738.170459695,7151.554947734073,5973.379076086957,0.3925095112402446,10.948500266413337
Mean,Baseline,85887386.73353015,9267.544806124768,7885.110751135701,-0.02015910945040633,14.611653463405064
Naive,Baseline,239411711.17730978,15472.934795225816,12906.97214673913,-1.8437008896824723,21.581466139581394
