Modell,MAE_MW,RMSE_MW,MAPE_%,sMAPE_%,R2
LSTM,251.53067209591902,377.187201595442,3.480227093813612,3.4846779258790046,0.9821524903958018
GRU,252.3087217826157,378.9787539538802,3.492910947675292,3.5145356517109283,0.9819825446281127
