,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
LightGBM,246.70160635617924,358.8050759047901,3.3711837859815756,3.3408444949251854,0.9838151864344434,0.84552360190331
XGBoost,246.2982895684961,359.46082062199224,3.355216724188885,3.322650568637659,0.9837559743170342,0.8441413090675772
Random Forest,244.21299834680065,373.5812273724083,3.3443858881813324,3.320325188622138,0.9824547066507873,0.8369943635294939
CatBoost,263.3906092582707,379.55779621163316,3.585086041629336,3.553747635872105,0.9818888354108785,0.9027220371075715
