Model,MAE,RMSE,R2,Training_Time_s
Baseline,269.47154282276097,384.8461066711044,0.9816920011410977,0.6258411407470703
Tuned,249.0319338023058,376.35999855765294,0.9824905058935718,457.2301518917084
