,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
Mean,885.8423806538135,899.0192933369397,31.897412406677933,26.868897004093867,-33.36527247956198,2.5252852001379236e-05
Seasonal Naive (24h),906.4868975903614,922.526480196724,32.64453691095553,27.384722915667147,-35.18590592449744,2.5841368584265948e-05
Naive,971.2578313253013,983.2907715118461,34.89603454977902,29.0707679870624,-40.10983126036119,2.768780406683154e-05
Moving Average (168h),998.1715218014918,1009.8838316188352,35.84087517966536,29.752996082502158,-42.36352774755001,2.8455036993646967e-05
Drift,1096.6426304987483,1116.6082938511504,39.417623304486774,32.17225563991897,-52.013132427714815,3.1262168813766256e-05
