,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
BiLSTM,0.06701325664376633,0.10192899925847895,60.94963013268927,21.62874410518477,0.9834311755622619,0.8218227461848704
GRU,0.0678934312817632,0.10406017433220119,59.822412794155966,22.739507229668327,0.9827310761729398,0.8326168423734214
LSTM,0.0703295183793232,0.10437869306654297,61.852462241743424,22.384142450452597,0.9826251971654455,0.8624920027331817
