iter	RMSE
0	1251.308156
1	1189.786471
2	1131.496886
3	1076.096046
4	1023.252648
5	973.8792995
6	926.7815691
7	881.2264596
8	838.0397388
9	797.348372
10	758.409497
11	721.3226587
12	686.5043116
13	653.4089287
14	621.5376698
15	591.5764788
16	562.9063789
17	535.6413446
18	510.0698656
19	485.2834985
20	461.9833155
21	440.087037
22	418.6630184
23	398.5617713
24	379.4450973
25	361.3706151
26	344.4953521
27	328.0638042
28	312.6304948
29	297.8225766
30	283.6351663
31	270.3642813
32	257.7026762
33	245.8224145
34	234.4994582
35	223.7173732
36	213.4421445
37	203.794572
38	194.7620291
39	186.0496462
40	177.7272003
41	170.0739342
42	162.6493597
43	155.4569055
44	148.6354304
45	142.4097652
46	136.4494764
47	130.7530039
48	125.3120689
49	120.2480405
50	115.4375014
51	110.938826
52	106.6005012
53	102.5342715
54	98.67019031
55	95.01958119
56	91.77788385
57	88.57128055
58	85.45851842
59	82.59257642
60	79.99191059
61	77.31525509
62	74.88809946
63	72.66112118
64	70.56977817
65	68.66008401
66	66.90502012
67	65.13633529
68	63.49011223
69	61.98081518
70	60.44969904
71	59.17952149
72	57.89520791
73	56.7066335
74	55.6259976
75	54.53164504
76	53.60473207
77	52.73100579
78	51.89665048
79	51.04507249
80	50.28819041
81	49.5908106
82	49.00520666
83	48.30553791
84	47.65853977
85	47.08064893
86	46.55514525
87	46.05657742
88	45.63430087
89	45.23356749
90	44.7019878
91	44.3098374
92	43.92988568
93	43.55273645
94	43.22376902
95	42.92927848
96	42.65451877
97	42.38382918
98	42.16667401
99	41.87901032
100	41.56403869
101	41.30984393
102	41.06232735
103	40.78936211
104	40.59708014
105	40.38548236
106	40.22705924
107	40.02605612
108	39.7805865
109	39.63916913
110	39.36122275
111	39.15024455
112	38.95311855
113	38.80351208
114	38.68987605
115	38.54653976
116	38.33712761
117	38.17382597
118	38.03976027
119	37.88141509
120	37.72477931
121	37.52099277
122	37.4110021
123	37.28662429
124	37.05965975
125	36.95561332
126	36.77792807
127	36.6674677
128	36.58791448
129	36.43798488
130	36.33457435
131	36.1555568
132	36.03603124
133	35.87749587
134	35.75591951
135	35.62974386
136	35.54752742
137	35.43853257
138	35.32498518
139	35.25040039
140	35.0985416
141	34.93467734
142	34.85137271
143	34.68700828
144	34.61877186
145	34.52376743
146	34.38593523
147	34.32549228
148	34.19885264
149	34.13136364
150	34.0626754
151	33.96863398
152	33.85809683
153	33.72739743
154	33.59935156
155	33.51064357
156	33.44785505
157	33.35426364
158	33.29425932
159	33.16920718
160	33.08647241
161	32.9887384
162	32.923702
163	32.87270308
164	32.7989575
165	32.69839311
166	32.57322321
167	32.48832835
168	32.42983344
169	32.36533807
170	32.26306693
171	32.16438988
172	32.10401522
173	32.0164527
174	31.93807503
175	31.81524457
176	31.70495808
177	31.65447109
178	31.58815718
179	31.48166851
180	31.37967583
